N,selection_type,U,S,T_m,T_se
100,reproduction,0.01,0.02,532.45,58.73539083349694
100,viability,0.01,0.02,560.59,63.95296898044798
100,reproduction,0.03,0.06,1612.48,147.75517320243245
100,viability,0.03,0.06,1960.57,201.26700154297777
100,reproduction,0.05,0.1,9980.24,1074.147657129676
100,viability,0.05,0.1,16606.1,1857.4773934483608
100,reproduction,0.07,0.14,80978.63,8431.815685621568
100,viability,0.07,0.14,243956.17,20513.228854388974
100,reproduction,0.09,0.18,836658.3,88050.20382895262
100,viability,0.09,0.18,5.61588408e6,524327.1168286887
