N,selection_type,α,U,S,T_m,T_se
100,viability,1.1,0.01,0.01,375.94,25.457644840166985
300,viability,1.1,0.01,0.01,997.16,76.7522575195247
500,viability,1.1,0.01,0.01,2074.76,170.25834743919978
700,viability,1.1,0.01,0.01,3566.28,251.47716689732903
900,viability,1.1,0.01,0.01,6740.8,581.8618137522261
1100,viability,1.1,0.01,0.01,14378.03,1199.8934090248233
1300,viability,1.1,0.01,0.01,31269.83,3232.377036340534
1500,viability,1.1,0.01,0.01,58044.26,5680.925091574862
1700,viability,1.1,0.01,0.01,99056.25,8279.820709867487
1900,viability,1.1,0.01,0.01,205133.5,17607.277497312687
100,viability,1.1,0.01,0.01,375.94,25.457644840166985
300,viability,1.1,0.01,0.01,997.16,76.7522575195247
500,viability,1.1,0.01,0.01,2074.76,170.25834743919978
700,viability,1.1,0.01,0.01,3566.28,251.47716689732903
900,viability,1.1,0.01,0.01,6740.8,581.8618137522261
1100,viability,1.1,0.01,0.01,14378.03,1199.8934090248233
1300,viability,1.1,0.01,0.01,31269.83,3232.377036340534
1500,viability,1.1,0.01,0.01,58044.26,5680.925091574862
1700,viability,1.1,0.01,0.01,99056.25,8279.820709867487
1900,viability,1.1,0.01,0.01,205133.5,17607.277497312687
